method,file_size,time
fastread,1024,273424
fastread,1024,279322
fastread,1024,263957
fastread,1024,278360
fastread,1024,276659
fastread,1024,276799
fastread,1024,307447
fastread,1024,275632
fastread,1024,272880
fastread,1024,245187
fastread,1024,285990
fastread,1024,276087
fastread,1024,276430
fastread,1024,278630
fastread,1024,276073
fastread,1024,283491
fastread,1024,274392
fastread,1024,293632
fastread,1024,258709
fastread,1024,277653
fastread,1024,276280
fastread,1024,277019
fastread,1024,273033
fastread,1024,280603
fastread,1024,275998
fastread,1024,275632
fastread,1024,278376
fastread,1024,276077
fastread,1024,293490
fastread,1024,260091
fastread,1024,277848
fastread,1024,274194
fastread,1024,281044
fastread,1024,276959
fastread,1024,279714
fastread,1024,278028
fastread,1024,279600
fastread,1024,273916
fastread,1024,277542
fastread,1024,297366
fastread,1024,290288
fastread,1024,274391
fastread,1024,280009
fastread,1024,277940
fastread,1024,279662
fastread,1024,276445
fastread,1024,277960
fastread,1024,279177
fastread,1024,280699
fastread,1024,275249
fastread,1024,296321
fastread,1024,285499
fastread,1024,276618
fastread,1024,252533
fastread,1024,276279
fastread,1024,277422
fastread,1024,280133
fastread,1024,276496
fastread,1024,276178
fastread,1024,255356
fastread,1024,262517
fastread,1024,305215
fastread,1024,261444
fastread,1024,274144
fastread,1024,280973
fastread,1024,276555
fastread,1024,280617
fastread,1024,276697
fastread,1024,275028
fastread,1024,274349
fastread,1024,279943
fastread,1024,277034
fastread,1024,295928
fastread,1024,286626
fastread,1024,279283
fastread,1024,279920
fastread,1024,275292
fastread,1024,276031
fastread,1024,276008
fastread,1024,280015
fastread,1024,271090
fastread,1024,276672
fastread,1024,273876
fastread,1024,295737
fastread,1024,286743
fastread,1024,280508
fastread,1024,274133
fastread,1024,274245
fastread,1024,278644
fastread,1024,280048
fastread,1024,275917
fastread,1024,275811
fastread,1024,277329
fastread,1024,283427
fastread,1024,290863
fastread,1024,260907
fastread,1024,295512
fastread,1024,259387
fastread,1024,275044
fastread,1024,277956
fastread,1024,275006
fastread,1024,282103
fastread,1024,276078
fastread,1024,277448
fastread,1024,276335
fastread,1024,279714
fastread,1024,276488
fastread,1024,294360
fastread,1024,290438
fastread,1024,273611
fastread,1024,279738
fastread,1024,277520
fastread,1024,279314
fastread,1024,271373
fastread,1024,280887
fastread,1024,283377
fastread,1024,270474
fastread,1024,273047
fastread,1024,298906
fastread,1024,290899
fastread,1024,276817
fastread,1024,275686
fastread,1024,277514
fastread,1024,278040
fastread,1024,276566
fastread,1024,278938
fastread,1024,279122
fastread,1024,276696
fastread,1024,275452
fastread,1024,296447
fastread,1024,287534
fastread,1024,276026
fastread,1024,275240
fastread,1024,319004
fastread,1024,269432
fastread,1024,276049
fastread,1024,276503
fastread,1024,274157
fastread,1024,281328
fastread,1024,298583
fastread,1024,286155
fastread,1024,279351
fastread,1024,277915
fastread,1024,279835
fastread,1024,277486
fastread,1024,275237
fastread,1024,307863
fastread,1024,285550
fastread,1024,272949
fastread,1024,277865
fastread,1024,298352
fastread,1024,285554
fastread,1024,277605
fastread,1024,278894
fastread,1024,278452
fastread,1024,277034
fastread,1024,276014
fastread,1024,276815
fastread,1024,278165
fastread,1024,279010
fastread,1024,274794
fastread,1024,295540
fastread,1024,287373
fastread,1024,267274
fastread,1024,279754
fastread,1024,282661
fastread,1024,269631
fastread,1024,279231
fastread,1024,278644
fastread,1024,277693
fastread,1024,323661
fastread,1024,271838
fastread,1024,277156
fastread,1024,271821
fastread,1024,276787
fastread,1024,278543
fastread,1024,275946
fastread,1024,280868
fastread,1024,276443
fastread,1024,274723
fastread,1024,276855
fastread,1024,294758
fastread,1024,291986
fastread,1024,275914
fastread,1024,279317
fastread,1024,278404
fastread,1024,277590
fastread,1024,281314
fastread,1024,275589
fastread,1024,275657
fastread,1024,282101
fastread,1024,276894
fastread,1024,294979
fastread,1024,288396
fastread,1024,268181
fastread,1024,279545
fastread,1024,276499
fastread,1024,275601
fastread,1024,279299
fastread,1024,277985
fastread,1024,277166
fastread,1024,279211
fastread,1024,245848
fastread,1024,302259
fastread,1024,261707
fastread,1024,275360
fastread,1024,283159
fastread,1024,275148
fastread,1024,284149
fastread,1024,279151
fastread,1024,286178
fastread,1024,269354
fastread,1024,277674
fastread,1024,280281
fastread,1024,295689
fastread,1024,288990
fastread,1024,275854
fastread,1024,277595
fastread,1024,281873
fastread,1024,279839
fastread,1024,249570
fastread,1024,277265
fastread,1024,270257
fastread,1024,278268
fastread,1024,278458
fastread,1024,233569
fastread,1024,266681
fastread,1024,276946
fastread,1024,280924
fastread,1024,276224
fastread,1024,277321
fastread,1024,276526
fastread,1024,279281
fastread,1024,275999
fastread,1024,278843
fastread,1024,295813
fastread,1024,285687
fastread,1024,281679
fastread,1024,275767
fastread,1024,285706
fastread,1024,286981
fastread,1024,290163
fastread,1024,294324
fastread,1024,276105
fastread,1024,277345
fastread,1024,303488
fastread,1024,266542
fastread,1024,276375
fastread,1024,278917
fastread,1024,287674
fastread,1024,268641
fastread,1024,281171
fastread,1024,275762
fastread,1024,278647
fastread,1024,279028
fastread,1024,278368
fastread,1024,294297
fastread,1024,288762
fastread,1024,277172
fastread,1024,283931
fastread,1024,273860
fastread,1024,279404
fastread,1024,276800
fastread,1024,279721
fastread,1024,278088
fastread,1024,277229
fastread,1024,275045
fastread,1024,296724
fastread,1024,286352
fastread,1024,282199
fastread,1024,273504
fastread,1024,277263
fastread,1024,264475
fastread,1024,262497
fastread,1024,291264
fastread,1024,264476
fastread,1024,282301
fastread,1024,273082
fastread,1024,295901
fastread,1024,281032
fastread,1024,277588
fastread,1024,282326
fastread,1024,249628
fastread,1024,273180
fastread,1024,280192
fastread,1024,275204
fastread,1024,276318
fastread,1024,280080
fastread,1024,276939
fastread,1024,294871
fastread,1024,289002
fastread,1024,278181
fastread,1024,278481
fastread,1024,277597
fastread,1024,279183
fastread,1024,277791
fastread,1024,277391
fastread,1024,280810
fastread,1024,276473
fastread,1024,295680
fastread,1024,288630
fastread,1024,275029
fastread,1024,277489
fastread,1024,279237
fastread,1024,277489
fastread,1024,277199
fastread,1024,277328
fastread,1024,277352
fastread,1024,275817
fastread,1024,276558
fastread,1024,294641
fastread,1024,284664
fastread,1024,281464
fastread,1024,278577
fastread,1024,282889
fastread,1024,276942
fastread,1024,278258
fastread,1024,275460
fastread,1024,275802
fastread,1024,293719
fastread,1024,262340
fastread,1024,276082
fastread,1024,274827
fastread,1024,281342
fastread,1024,277306
fastread,1024,279164
fastread,1024,275951
fastread,1024,233209
fastread,1024,287983
fastread,1024,284859
fastread,1024,283183
fastread,1024,287134
fastread,1024,277219
fastread,1024,277266
fastread,1024,277141
fastread,1024,277719
fastread,1024,280587
fastread,1024,276116
fastread,1024,278637
fastread,1024,278094
fastread,1024,276321
fastread,1024,315901
fastread,1024,281680
fastread,1024,280813
fastread,1024,307866
fastread,1024,265223
fastread,1024,286563
fastread,1024,286913
fastread,1024,267979
fastread,1024,275332
fastread,1024,282102
fastread,1024,293199
fastread,1024,288190
fastread,1024,277650
fastread,1024,277952
fastread,1024,280753
fastread,1024,295550
fastread,1024,283921
fastread,1024,280394
fastread,1024,276734
fastread,1024,281270
fastread,1024,279762
fastread,1024,271787
fastread,1024,233774
fastread,1024,290194
fastread,1024,278597
fastread,1024,299640
fastread,1024,289184
fastread,1024,271046
fastread,1024,277673
fastread,1024,276076
fastread,1024,281629
fastread,1024,242219
fastread,1024,279381
fastread,1024,280374
fastread,1024,279165
fastread,1024,271324
fastread,1024,318938
fastread,1024,244867
fastread,1024,234295
fastread,1024,256439
fastread,1024,247663
fastread,1024,267550
fastread,1024,246341
fastread,1024,246624
fastread,1024,248015
fastread,1024,247615
fastread,1024,234895
fastread,1024,242214
fastread,1024,229984
fastread,1024,238005
fastread,1024,223548
fastread,1024,249541
fastread,1024,160333
fastread,1024,223786
fastread,1024,143703
fastread,1024,158276
fastread,1024,230234
fastread,1024,220420
fastread,1024,215834
fastread,1024,225530
